IdSale,SaleNumber,IdCompany,CreateDate,TotalSale,IdWarehouse,IdBranchCompany,IdDocument,IdSaleDetails,IdProduct,Quantity,UnitPrice,NameProduct
6034997,102,314,2023-03-24,20000,500,462,8,10556519,365552,1,20000,Abonos
6035310,103,314,2023-03-24,22000,500,462,8,10557051,368531,1,22000,BLUSA BASICA COLORES
6037711,106,314,2023-03-24,48000,500,462,8,10561317,367051,1,48000,BLUSA SATIN LARGA
6037921,107,314,2023-03-24,64000,500,462,8,10561665,365215,1,68000,PANTALON DAMA CAMPANA
6038209,108,314,2023-03-24,32200,500,462,8,10562241,365192,1,35000,CAMISETA DAMA ESTAMPADA
6040001,109,314,2023-03-25,48000,500,462,8,10565334,367051,1,48000,BLUSA SATIN LARGA
6044441,110,314,2023-03-25,102000,500,462,8,10573537,368759,1,62000,CAMISETA OVERSIZE BURDA ROSADA
6044441,110,314,2023-03-25,102000,500,462,8,10573538,368560,1,40000,BOINA / SOMBRERO PARIS CONEJO
6048044,111,314,2023-03-26,105000,500,462,8,10579922,365198,1,65000,SUETER  DAMA  SEÑORIAL
6048044,111,314,2023-03-26,105000,500,462,8,10579923,366454,1,40000,PANTALON PANA
6049188,112,314,2023-03-26,66000,500,462,8,10582042,368570,1,66000,ENTERIZO CONJUNTO
6051941,113,314,2023-03-27,70000,500,462,8,10587120,365552,1,10000,Abonos
6053155,114,314,2023-03-27,42000,500,462,8,10589422,365552,1,42000,Abonos
6064027,115,314,2023-03-29,76000,500,462,8,10608618,369290,1,80000,PANTALON CAMUFLADO MUJER
6067871,116,314,2023-03-30,152000,500,462,8,10615219,365401,1,45000,BERMUDA
6067871,116,314,2023-03-30,152000,500,462,8,10615220,365400,1,40000,CAMISETA OVERSIZE
6067871,116,314,2023-03-30,152000,500,462,8,10615221,365202,2,38000,CAMISETA ESTAMPADA
6070680,117,314,2023-03-31,99000,500,462,8,10620431,365203,1,25000,ESQUELETO TIRAS
6070680,117,314,2023-03-31,99000,500,462,8,10620432,368117,1,74000,VESTIDO FRUNCIDO CORTO
6070793,118,314,2023-03-31,1,500,462,8,10620631,365401,1,45000,BERMUDA
6073920,119,314,2023-03-31,50000,500,462,8,10626243,365558,1,5000,Servicio
6073920,119,314,2023-03-31,50000,500,462,8,10626244,365401,1,45000,BERMUDA
6074783,120,314,2023-03-31,31000,500,462,8,10627771,365207,1,85000,CHAQUETA DAMA JEAN
6074844,121,314,2023-03-31,30000,500,462,8,10627866,365552,1,30000,Abonos
6076596,122,314,2023-04-01,308000,500,462,8,10630896,368763,1,82000,BUSO CUELLO ALTO CREMALLERA
6076596,122,314,2023-04-01,308000,500,462,8,10630897,366454,1,40000,PANTALON PANA
6076596,122,314,2023-04-01,308000,500,462,8,10630898,365201,1,52000,BLUSA CAMISERA DAMA LARGA
6076596,122,314,2023-04-01,308000,500,462,8,10630899,366463,1,68000,VESTIDO CRUZADO CORTO
6076596,122,314,2023-04-01,308000,500,462,8,10630900,368570,1,66000,ENTERIZO CONJUNTO / ELASTICO
6077004,123,314,2023-04-01,63000,500,462,8,10631615,368570,1,66000,ENTERIZO CONJUNTO / ELASTICO
6078937,124,314,2023-04-01,38000,500,462,8,10634931,365202,1,38000,CAMISETA ESTAMPADA
6079555,125,314,2023-04-01,38000,500,462,8,10636024,365202,1,38000,CAMISETA ESTAMPADA
6080351,126,314,2023-04-01,108000,500,462,8,10637542,366463,1,68000,VESTIDO CRUZADO CORTO
6081375,127,314,2023-04-01,40000,500,462,8,10639520,368764,1,42000,POLO HOMBRE
6081444,128,314,2023-04-01,46000,500,462,8,10639653,365180,1,50000,CAMISETA LISA
6085217,129,314,2023-04-02,75000,500,462,8,10646692,369290,1,80000,PANTALON CARGO MUJER
6087114,130,314,2023-04-02,68000,500,462,8,10650230,366463,1,68000,VESTIDO CRUZADO CORTO
6087230,131,314,2023-04-02,80000,500,462,8,10650425,368763,1,82000,BUSO CUELLO ALTO CREMALLERA
6087400,134,314,2023-04-02,64000,500,462,8,10650829,366463,1,68000,VESTIDO CRUZADO CORTO
6087445,136,314,2023-04-02,17000,500,462,8,10650913,365552,1,17000,Abonos
6089499,137,314,2023-04-03,42000,500,462,8,10654393,365401,1,45000,BERMUDA
6089944,138,314,2023-04-03,68000,500,462,8,10655156,368760,1,68000,CAMISETA OVERSIZE BURDA ARENA
6091144,139,314,2023-04-03,40000,500,462,8,10657161,368559,1,40000,BOINAS VARIAS
6092644,140,314,2023-04-03,45000,500,462,8,10660125,366480,1,48000,CANGURO / PECHERA  H 48
6092687,141,314,2023-04-03,20000,500,462,8,10660184,365552,1,20000,Abonos
6096888,142,314,2023-04-04,53000,500,462,8,10667546,368117,1,74000,VESTIDO FRUNCIDO CORTO
6097678,143,314,2023-04-04,15000,500,462,8,10669038,365196,1,15000,PINES METALICOS
6099797,145,314,2023-04-05,55000,500,462,8,10672933,368758,1,58000,CAMISETA MUSCULOSA
6100176,146,314,2023-04-05,38000,500,462,8,10673525,367036,1,38000,SOMBRERO
6101712,147,314,2023-04-05,80100,500,462,8,10676113,366475,1,15000,CINTURONESS
6101712,147,314,2023-04-05,80100,500,462,8,10676114,366463,1,70000,VESTIDO CRUZADO CORTO
6102518,148,314,2023-04-05,40000,500,462,8,10677546,366463,1,70000,VESTIDO CRUZADO CORTO
6104031,149,314,2023-04-05,48000,500,462,8,10680201,366480,1,48000,CANGURO / PECHERA  H 48
6104407,150,314,2023-04-05,59000,500,462,8,10680908,368759,1,62000,CAMISETA OVERSIZE BURDA COLORES
6105747,151,314,2023-04-06,76000,500,462,8,10683341,369290,1,80000,PANTALON CARGO MUJER
6105805,152,314,2023-04-06,85000,500,462,8,10683446,366454,1,40000,PANTALON PANA
6105805,152,314,2023-04-06,85000,500,462,8,10683447,365199,1,48000,CAMISAS HOMBRE ESTAMPADAS
6107072,153,314,2023-04-06,169000,500,462,8,10685920,368770,1,48000,BOLSO TBM 48
6107072,153,314,2023-04-06,169000,500,462,8,10685921,368570,1,66000,ENTERIZO CONJUNTO / ELASTICO
6107072,153,314,2023-04-06,169000,500,462,8,10685922,368759,1,62000,CAMISETA OVERSIZE BURDA COLORES
6107228,154,314,2023-04-06,116000,500,462,8,10686205,366480,1,48000,CANGURO / PECHERA  H 48
6107228,154,314,2023-04-06,116000,500,462,8,10686206,368760,1,68000,CAMISETA OVERSIZE BURDA ARENA
6107241,155,314,2023-04-06,6000,500,462,8,10686225,365203,1,6000,PINES RESINA
6107957,157,314,2023-04-06,75000,500,462,8,10687618,369290,1,80000,PANTALON CARGO MUJER
6108135,158,314,2023-04-06,70000,500,462,8,10687952,365189,1,75000,"BUSO HOMBRE CAPOTA "
6108988,159,314,2023-04-07,35750,500,462,8,10689494,365202,1,38000,CAMISETA ESTAMPADA
6109019,160,314,2023-04-07,71000,500,462,8,10689540,368117,1,74000,VESTIDO BOLERO CORTO
6109086,161,314,2023-04-07,92000,500,462,8,10689648,368770,1,48000,BOLSO TBM 48
6109086,161,314,2023-04-07,92000,500,462,8,10689649,365756,2,25000,CANGURO DEPORTIVO
6109244,162,314,2023-04-07,32500,500,462,8,10689884,368533,1,35000,CAMISETAS MUJER VARIAS
6109388,163,314,2023-04-07,70000,500,462,8,10690141,366758,1,70000,SUETER COLORS HERRAJE
6112415,164,314,2023-04-08,48000,500,462,8,10695318,368770,1,48000,BOLSO TBM 48
6112657,165,314,2023-04-08,42000,500,462,8,10695745,368764,1,42000,POLO HOMBRE
6114900,166,314,2023-04-08,15000,500,462,8,10699804,365552,1,15000,Abonos
6117235,167,314,2023-04-09,70000,500,462,8,10703751,366463,1,70000,VESTIDO CRUZADO CORTO
6117991,168,314,2023-04-09,192000,500,462,8,10705103,365204,2,42000,BLUSAS CAMISERAS CORTAS
6117991,168,314,2023-04-09,192000,500,462,8,10705104,368531,1,24000,ESQUELETO BASICO
6117991,168,314,2023-04-09,192000,500,462,8,10705105,365199,1,48000,CAMISAS HOMBRE ESTAMPADAS
6118842,169,314,2023-04-09,145000,500,462,8,10706744,366475,1,15000,CINTURONESS
6118842,169,314,2023-04-09,145000,500,462,8,10706745,368570,1,66000,ENTERIZO CONJUNTO / ELASTICO
6118842,169,314,2023-04-09,145000,500,462,8,10706746,366463,1,70000,VESTIDO CRUZADO CORTO
6118989,170,314,2023-04-09,142800,500,462,8,10707028,365214,1,65000,PANTALON DAMA DRIL CINTURON
6118989,170,314,2023-04-09,142800,500,462,8,10707029,365204,1,42000,BLUSAS CAMISERAS CORTAS
6118989,170,314,2023-04-09,142800,500,462,8,10707030,365216,1,45000,FALDA  ANIMAL PRINT
6119131,171,314,2023-04-09,39100,500,462,8,10707307,365204,1,42000,BLUSAS CAMISERAS CORTAS
6120095,172,314,2023-04-09,70000,500,462,8,10709284,368533,2,35000,CAMISETAS MUJER VARIAS
6121593,175,314,2023-04-10,20000,500,462,8,10711726,365552,1,20000,Abonos
6123095,176,314,2023-04-10,78300,500,462,8,10714261,368531,1,24000,ESQUELETO BASICO
6123095,176,314,2023-04-10,78300,500,462,8,10714262,368532,1,23000,PANTYS SUBLIMADOS
6123095,176,314,2023-04-10,78300,500,462,8,10714263,366454,1,40000,PANTALON PANA
6123187,177,314,2023-04-10,20000,500,462,8,10714473,365552,1,20000,Abonos
6125010,178,314,2023-04-10,52080,500,462,8,10717950,365757,1,56000,BLUSA CAMISERA DAMA LARGA ESTAMPADA
6125070,179,314,2023-04-10,6000,500,462,8,10718046,365203,1,6000,PINES RESINA
6125381,180,314,2023-04-10,30000,500,462,8,10718649,365552,1,30000,Abonos
6125399,181,314,2023-04-10,10000,500,462,8,10718673,365552,1,10000,Abonos
6128429,182,314,2023-04-11,82000,500,462,8,10723844,368763,1,82000,BUSO CUELLO ALTO CREMALLERA
6130094,183,314,2023-04-11,20000,500,462,8,10726830,365552,1,20000,Abonos
6131771,184,314,2023-04-11,28000,500,462,8,10729872,365755,1,28000,ESQUELETO MODA
6134077,185,314,2023-04-12,50000,500,462,8,10733739,365552,1,50000,Abonos
6138873,186,314,2023-04-13,40000,500,462,8,10742215,365400,1,40000,CAMISETA OVERSIZE
6139292,187,314,2023-04-13,20000,500,462,8,10742881,365552,1,20000,Abonos
6142297,188,314,2023-04-14,45000,500,462,8,10748235,368253,1,85000,RIÑONERA/ BOLSO  TCM 85
6142439,189,314,2023-04-14,48000,500,462,8,10748437,366480,1,48000,CANGURO / PECHERA  H 48
6142461,190,314,2023-04-14,15000,500,462,8,10748469,365196,1,15000,PINES METALICOS
6142835,191,314,2023-04-14,124200,500,462,8,10749040,365215,1,68000,PANTALON DAMA CAMPANA
6142835,191,314,2023-04-14,124200,500,462,8,10749041,365204,1,42000,BLUSAS CAMISERAS CORTAS
