CreateDate,IdCompany,IdBranchCompany,IdWarehouse,IdProduct,Quantity,UnitPrice,day,month,year,dayofweek,weekofyear,Quantity_log,UnitPrice_log
2020-02-07,150,230,258,185087,1,1300.0,7,2,2020,4,6,0.6931471805599453,7.170888478512505
2020-02-07,150,230,258,185089,3,1700.0,7,2,2020,4,6,1.3862943611198906,7.438971592395862
2020-02-07,150,230,258,185866,1,4500.0,7,2,2020,4,6,0.6931471805599453,8.412054873292933
2020-02-07,150,230,258,185868,1,1800.0,7,2,2020,4,6,0.6931471805599453,7.496097345175956
2020-02-07,150,230,258,185871,4,1000.0,7,2,2020,4,6,1.6094379124341003,6.90875477931522
2020-02-07,150,230,258,185874,1,12000.0,7,2,2020,4,6,0.6931471805599453,9.392745258631441
2020-02-07,150,230,258,185981,1,9999.0,7,2,2020,4,6,0.6931471805599453,9.210340371976184
2020-02-07,150,230,258,185984,1,5000.0,7,2,2020,4,6,0.6931471805599453,8.517393171418904
2020-02-08,150,230,258,184883,3,600.0,8,2,2020,5,6,1.3862943611198906,6.398594934535208
2020-02-08,150,230,258,184891,1,15000.0,8,2,2020,5,6,0.6931471805599453,9.61587214452889
2020-02-08,150,230,258,184892,1,14000.0,8,2,2020,5,6,0.6931471805599453,9.546884034617925
2020-02-08,150,230,258,184900,1,4800.0,8,2,2020,5,6,0.6931471805599453,8.476579508530941
2020-02-08,150,230,258,184935,1,8700.0,8,2,2020,5,6,0.6931471805599453,9.071193240566025
2020-02-08,150,230,258,184947,2,100.0,8,2,2020,5,6,1.0986122886681098,4.61512051684126
2020-02-08,150,230,258,185004,1,6500.0,8,2,2020,5,6,0.6931471805599453,8.77971129020447
2020-02-08,150,230,258,185079,1,5500.0,8,2,2020,5,6,0.6931471805599453,8.612685172875459
2020-02-08,150,230,258,185081,2,5500.0,8,2,2020,5,6,1.0986122886681098,8.612685172875459
2020-02-08,150,230,258,185082,1,5500.0,8,2,2020,5,6,0.6931471805599453,8.612685172875459
2020-02-08,150,230,258,185084,1,5500.0,8,2,2020,5,6,0.6931471805599453,8.612685172875459
2020-02-08,150,230,258,185085,18,100.0,8,2,2020,5,6,2.9444389791664403,4.61512051684126
2020-02-08,150,230,258,185086,1,2000.0,8,2,2020,5,6,0.6931471805599453,7.601402334583733
2020-02-08,150,230,258,185089,1,1700.0,8,2,2020,5,6,0.6931471805599453,7.438971592395862
2020-02-08,150,230,258,185979,1,5500.0,8,2,2020,5,6,0.6931471805599453,8.612685172875459
2020-02-08,150,230,258,185987,2,5500.0,8,2,2020,5,6,1.0986122886681098,8.612685172875459
2020-02-08,150,230,258,186006,1,26000.0,8,2,2020,5,6,0.6931471805599453,10.165890277802454
2020-02-08,150,230,258,186112,1,8000.0,8,2,2020,5,6,0.6931471805599453,8.987321812850125
2020-02-09,150,230,258,184862,1,26000.0,9,2,2020,6,6,0.6931471805599453,10.165890277802454
2020-02-09,150,230,258,184863,1,28000.0,9,2,2020,6,6,0.6931471805599453,10.239995502805316
2020-02-09,150,230,258,184882,1,32500.0,9,2,2020,6,6,0.6931471805599453,10.389026137075234
2020-02-09,150,230,258,184894,1,3000.0,9,2,2020,6,6,0.6931471805599453,8.006700845440367
2020-02-09,150,230,258,184902,1,3500.0,9,2,2020,6,6,0.6931471805599453,8.160803920954665
2020-02-09,150,230,258,184910,1,5100.0,9,2,2020,6,6,0.6931471805599453,8.537191877922927
2020-02-09,150,230,258,184925,1,15500.0,9,2,2020,6,6,0.6931471805599453,9.648659816955295
2020-02-09,150,230,258,184926,1,15500.0,9,2,2020,6,6,0.6931471805599453,9.648659816955295
2020-02-09,150,230,258,184928,1,18500.0,9,2,2020,6,6,0.6931471805599453,9.825580063659602
2020-02-09,150,230,258,184983,1,9200.0,9,2,2020,6,6,0.6931471805599453,9.127067452782361
2020-02-09,150,230,258,185000,1,15400.0,9,2,2020,6,6,0.6931471805599453,9.642187721358466
2020-02-09,150,230,258,185019,1,13500.0,9,2,2020,6,6,0.6931471805599453,9.510519035757246
2020-02-09,150,230,258,185032,1,10500.0,9,2,2020,6,6,0.6931471805599453,9.259225769705994
2020-02-09,150,230,258,185089,1,1700.0,9,2,2020,6,6,0.6931471805599453,7.438971592395862
2020-02-09,150,230,258,185867,1,7500.0,9,2,2020,6,6,0.6931471805599453,8.922791623969637
2020-02-09,150,230,258,185871,1,1000.0,9,2,2020,6,6,0.6931471805599453,6.90875477931522
2020-02-09,150,230,258,185981,1,9999.0,9,2,2020,6,6,0.6931471805599453,9.210340371976184
2020-02-09,150,230,258,186010,2,20000.0,9,2,2020,6,6,1.0986122886681098,9.90353755128617
2020-02-10,150,230,258,184883,3,600.0,10,2,2020,0,7,1.3862943611198906,6.398594934535208
2020-02-10,150,230,258,184885,6,800.0,10,2,2020,0,7,1.9459101490553132,6.68586094706836
2020-02-10,150,230,258,184934,1,4200.0,10,2,2020,0,7,0.6931471805599453,8.343077871169383
2020-02-10,150,230,258,184995,1,10500.0,10,2,2020,0,7,0.6931471805599453,9.259225769705994
2020-02-10,150,230,258,185015,1,20000.0,10,2,2020,0,7,0.6931471805599453,9.90353755128617
2020-02-10,150,230,258,185868,2,1800.0,10,2,2020,0,7,1.0986122886681098,7.496097345175956
2020-02-10,150,230,258,185978,1,4900.0,10,2,2020,0,7,0.6931471805599453,8.497194544909547
2020-02-10,150,230,258,185981,2,9999.0,10,2,2020,0,7,1.0986122886681098,9.210340371976184
2020-02-10,150,230,258,186006,1,26000.0,10,2,2020,0,7,0.6931471805599453,10.165890277802454
2020-02-11,150,230,258,184883,4,600.0,11,2,2020,1,7,1.6094379124341003,6.398594934535208
