date,IdProduct,IdWarehouse,Actual_Quantity,Predicted_Quantity,Error
2025-02-01,193404,258,1.0,2.41,-1.4100000000000001
2025-02-01,194564,258,1.0,2.03,-1.0299999999999998
2025-02-01,194631,258,1.0,1.72,-0.72
2025-02-01,195883,258,5.0,3.48,1.52
2025-02-01,197676,258,1.0,2.75,-1.75
2025-02-01,197699,258,1.0,2.06,-1.06
2025-02-01,197798,258,1.0,2.12,-1.12
2025-02-01,198230,258,2.0,2.63,-0.6299999999999999
2025-02-01,198234,258,1.0,1.29,-0.29000000000000004
2025-02-01,198235,258,1.0,1.29,-0.29000000000000004
2025-02-01,198531,258,1.0,2.25,-1.25
2025-02-01,198794,258,7.0,5.28,1.7199999999999998
2025-02-01,199142,258,1.0,1.67,-0.6699999999999999
2025-02-01,193403,258,2.0,1.19,0.81
2025-02-01,199763,258,2.0,3.53,-1.5299999999999998
2025-02-01,199848,258,3.0,3.64,-0.6400000000000001
2025-02-01,198239,258,1.0,1.46,-0.45999999999999996
2025-02-01,192385,258,1.0,2.2,-1.2000000000000002
2025-02-01,193188,258,4.0,5.89,-1.8899999999999997
2025-02-01,190192,258,1.0,1.1,-0.10000000000000009
2025-02-01,199849,258,1.0,1.4,-0.3999999999999999
2025-02-01,190231,258,1.0,1.92,-0.9199999999999999
2025-02-01,190232,258,2.0,1.25,0.75
2025-02-01,191528,258,1.0,1.4,-0.3999999999999999
2025-02-01,192005,258,1.0,2.07,-1.0699999999999998
2025-02-01,192006,258,1.0,2.04,-1.04
2025-02-01,192127,258,2.0,1.84,0.15999999999999992
2025-02-01,192128,258,1.0,4.2,-3.2
2025-02-01,192364,258,2.0,1.13,0.8700000000000001
2025-02-01,192420,258,1.0,1.67,-0.6699999999999999
2025-02-01,192474,258,3.0,1.76,1.24
2025-02-01,192536,258,1.0,1.06,-0.06000000000000005
2025-02-01,192553,258,1.0,2.1,-1.1
2025-02-01,192554,258,1.0,1.29,-0.29000000000000004
2025-02-01,192777,258,5.0,2.91,2.09
